concept,2024,2023,2022,2021,2020
uber_StockIssuedDuringPeriodSharesSettlementOfContingentConsiderationLiability,,,,2252000,
us-gaap_EmbeddedDerivativeGainLossOnEmbeddedDerivativeNet,,,,,0
us-gaap_AmortizationOfDebtDiscountPremium,,,,,45000000
us-gaap_PaidInKindInterest,,,,,0
us-gaap_GainLossOnInvestments,,,,,-125000000
us-gaap_FairValueAdjustmentOfWarrants,,,,,0
us-gaap_ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,3000000
us-gaap_PaymentsToAcquireEquityMethodInvestments,,,,,-0
us-gaap_RepaymentsOfLinesOfCredit,,,,,-0
us-gaap_RepaymentsOfLongTermCapitalLeaseObligations,,,,,
us-gaap_ProceedsFromIssuanceOfRedeemableConvertiblePreferredStock,,,,,0
uber_RepurchaseofStockSubjectToPutOption,,,,,-0
us-gaap_ConstructionInProgressExpendituresIncurredButNotYetPaid,,,,,0
uber_LitigationSettlementThroughStockIssuance,,,,,0
uber_OwnershipInterestAcquiredThroughDissolutionOfJointVenture,,,,,0
us-gaap_NoncashOrPartNoncashDivestitureAmountOfConsiderationReceived1,,,,,0
uber_HoldbackOfUnsecuredConvertibleNotes,,,,,423000000
uber_StockRepurchasedDuringPeriodValueUnvestedEarlyExercisedStockOptions,,,,,
us-gaap_StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,,,,,
